w,pron,fra,spa,hin,deu,jpn,fin,bul,nor,dan,ara,ces,cym,ell,gle,hrv,hun,ita,lat,lit,nld,pol,por,rom,rus,srp,swe,swh,tur,afr
organize,ɔːgənaiz,organiser,,"संघटन~करना, Can you help me to organize the files?.",,組織,"järjestää, järjestellä, järjestää, systematisoida, järjestää, organisoida","устройвам, организирам",,,,organizovat,,,,"organiziraju, organizirati, osnovati, prirediti, prorijediti, urediti",,,,,"regelen, organiseren, uitschrĳven",,organizar,,,,,,"düzenlemek, intizama sokmak, örgütlemek, teşkil etmek, teşekkül etmek, teşkilâtlanmak, sıralamak, tasnif etmek, yerleştirmek.",organiseer
organized,/ˈɔɹɡənaɪzd/,,,,,,järjestelmällinen,,,,,organizovaný,,,,"organiziran, organizirana, organizirani, organizirano, organiziranoga",,,,,,,,,,,,,,
origin,əridʒin,origine,"descendencia, origen","मूल, He comes from good origins.",,"起源, 原因, 原点","syntyperä, alkuperä, nollapiste, origo, alkuperä, lähteet","прои́зход, нача́ло, прои́зход, нача́ло, и́звор, и́зточник",origo,,,vznik,tardd,,,"Izvorno, ishodište, iskon, izvor, podrijetla, podrijetlo, podrijetlu, porijeklo, postanka, početak, početna točka","származás, eredet","nascita, origine",origo,"šaltinis, ištaka, pradžia, atsiradimas, kilmė, (anat.) raumens pradžia, (spec.) (koordinačių) susikirtimo taškas","afkomst, herkomst, oorsprong",,"origem, procedência",origine,,,,,"asıl, köken, kaynak, başlangıç, nesil, doğuş, soy.","herkoms, oorsprong"
original,əridʒənl,"inédit, original",original,"मूल, आरंभिक, The play is original; not an adaptation.",,"本来, 独創的な, 元","alkuperäinen, ensimmäinen, omaperäinen, omintakeinen, originelli, tuore, peräisin, alkuperäinen, tuore","първоначален, оригинален, нов, оригинален, начален, първичен",,,,zdrojový,gwreiddiol,,,"izvorna, izvorne, izvorni, izvornik, izvornog, original, originalan, originalne, originalni, originalno, originalnu, praizvor, pravi, prvobitno","különös, eredet, originális, eredetieskedô, különleges, ôskézirat, különc, új utakon járó, kezdeti, eredeti példány, elsôdleges, alap-, furcsa ember, rendkívüli, különös ember, származás, furcsa, ôs, sajátos, ôsök, ôsi, eredendô, önálló, egyedi, eredeti ember, újszerû, ôskiadás, újsütetû, eredeti, legelsô, ôstípus",,archetypus,"pradinis, originalus, tikras, autentiškas, originalas, keistuolis","oorspronkelĳk, origineel, apart",,original,,,,original,,"asli, esasa ait, ilk, özgün, yeni, yeni icat olunmuş, orijinal, yaratıcı (zeka), aslı, kaynak, menşe, asıl nüsha, müsvedde, acayip kimse. original mind yaratıcı zeka. original sin (ilah.) kalıtımla geçen veya doğuştan olan günah.",oorspronklik
originally,/əˈɹɪdʒɪnəli/,,,"आदि~में, The plan was originally quite different.",,"元々, 元来, 本来",,"първонача́лно, оригина́лно",,,,původně,,,,"Izvorno, originalno, porijeklom, prvobitno",eredetileg,,,"iš pradžių, pradžioje, pagal kilmę","oorspronkelĳk, van oorsprong",,originalmente,,,,,,,oorspronklik
other,ʌðər,autre,otro,"अन्य, दूसरा, We live the other side of the river.",,"他, 別",toinen,друг,andre,,,opačný,arall,,eile,"daljnji, druga, drugačiji, druge, drugi, drugih, drugim, drugo, drugu, jedan drugog, ostala, ostale, ostali, ostalih, ostalim, ostalog, ostalu","más, másik, másképp, egyéb, másképpen, másféle, másformán, mást, másikat, többi, máshogyan, további, másként, másmilyen",altro,alius,"kitas, kiti, kitaip",ander,,"outro, diferente, diverso",,другой,,annan,,"(zam.) başka, diğer, gayri, sair, başka suretle, baska türlü, (zam.) başka birisi, başkası, başka kimse, diğeri. some day or other günün birinde, bir gün. the other day geçen gün. every other day gün aşırı.",ander
otherwise,/ˈʌ.ðəˌwaɪz/,,,,,"そうではないと, その他, その他に, 違う様に, その他, 他の点では, 然も無くば",toisin,"друг, различен",,,,jinak,,,,"drugačije, drukčije, ili pak, inače, na drugi način","különben, másképpen, egyébként, ellenkezô esetben, másképp, máskülönben",,,,"alias, anders, op een andere manier, daarentegen, ertegenover, integendeel, anderszins, op een andere wĳze",,"diferente, caso contrário, por outro lado, de outra forma",,,,,,"başka suretle, başka türlü, yoksa, olmazsa, aksi takdirde.",inteendeel
ought to,ɔːttou,"devoir, être obligé",,,,,,,,,,měl by,dylu,,,,,,,,"horen, behoren, dienen, moeten, zullen",,"dever, ter a obrigação, ter de, ter que",,должен,,,,,
our,/æɔ(ə)/,,,"हमारा, अपना, Our university has so many departments.",,"我々, 我ら, 私たち","-mme, meidän, meidän ...mme",наш,vår,,,naše,ein,,,"naš, naša, naše, našeg, naši, naših, našim, našoj, našu, svoje",,,,mūsų,"ons, onze",,"nossa, nosso",,,,vår,,"(zam.), bizim.",ons
ours,/ˈaʊəz/,,,"हमारा, अपना, Ours was an unhappy marriage.",,"我々, 我ら, 私たち, 私等",meidän,наш,,,,náš,,,,"naš, naša",,,,,"het onze, de onze",,nosso,,,,,,"(zam.) bizimki. a friend of ours dostlarımızdan biri, bir dostumuz.",ons s'n
ourselves,/aʊəˈsɛlvz/,,,"स्वयम्, We shouldn't blame ourselves for what happenned.",,,"itse, itsemme",,,,,my sami,,,,"mi, mi sami, nama samima, nas, nas same, osobno, se, sebe, sebi",,,,,,,nós mesmos,,,,,,"(zam.), (çoğ.) kendimiz, bizler. We ourselves will help. Biz kendimiz yardım edeceğiz. We will help our selves. Biz kendimize yardım edeceğiz.",
out,aut,dehors,fuera,"बाहर, They went out last night., Ram went to see his friend but he was out., The truth is out finally., ख़तम, अंत, All the lights were out in the streets., बेहोश, He was out for more than an hour before the nurses could bring him round.",,"終い, 終わり, アウト","ulkona, ei paikalla, poissa, pois, ulos, kaukana, poissa, ihan, täysin, pois, pois päältä, loppuun, loppuun asti",,"ute, borte, ute, ut, borte, vekk, ut, av",,,mimo,allan,,,"aut, biti objavljen, glasno, izgnati, izlaz, izlet, napolje, sasvim, van, vanjski, vanjština","rendkívüli, szavak kifelejtése a szedésbôl, kint, munkanélküli, kifelé, aut, -bôl, külsô, kinn, -ból, valamibôl, vége, kívül, selejtes holmi, rendestôl eltérô, végig, selejt, közül, kihagyás, ki, között, sorok kifelejtése a szedésbôl",fuori,,,"buiten, daarbuiten, uiterlĳk, buitenwaarts, eruit, naar buiten, uitwaarts",,"fora, de fora",,,из,ute,,"(edat), (ünlem), dışarı dışarıda, dışarıya, dışında, arasından, meydana, ortaya, sız (kalmış), bütün bütün, tamamen: sonuna kadar, yüksek sesle, (edat) dışarıya, dışarıda, işinden çıkarılmış yenik parti üyesi, bahane, çözüm yolu, (beysbol) vurucunun sırasının bitmesi, muhalif kimse, (matb.) mürettip tarafından atlanmış kelime, (ünlem) Dışarı! Defol!, dışarıdaki, dış, top oyun larında vurucu olmayan, anormal, kullanılmaz, zararda olan, yanılmış, (eski) kovmak. kapı dışarı etmek, (argo.) vurup düşürmek, nakavt etmek, meydana çıkmak, aşikâr olmak. out and away pek çok, fersah fersah. out and out bütün bütün, tamamen, her yönüyle. out of breath nefesi kesilmiş, soluk soluğa. out of commission bozuk. out of countenance utanmış. out of danger tehlikeyi atlatmış. out for a good time eğlence peşinde. out of order bozuk, düzensiz veya sırasız. out of patience sabrı tükenmiş. out of pocket sarfedilmiş, cepten çıkmış. out of print mevcudu bitmiş (kitap) out of reach el erişmez, uzak. out of season mevsimsiz, vakitsiz. out of sorts rahatsız, keyifsiz, dargın. out of spirits canı sıkkın, neşesiz. out of things uzaklaşmış, uzaklaştırılmış. out of time (müz.) vuruşa uygun olmayan. Out with it! Haydi söyle! Anlat! cry out yüksek sesle bağırmak, haykırmak. die out sönmek: nesli tükenmek. pass out dağıtmak, bayılmak, toplantıdan sıra ile çıkmak (öğrenciler) pour out boşaltmak. time out of mind öteden beri, eskiden beri. tired out çok yorgun, bitkin. at outs (with) dargın. far out, way out (argo.) şahane, harika. He is out to lunch. Yemek için dışarı çıktı. Latin has gone out as a spoken language. Latince konuşma dili olmaktan çıktı. The fire is out. Yangın söndü. The stars are out. Yıldızlar görün- mekte.",beleefdheidshalwe
outdoor,/ˌaʊtˈdɔː/,,,"खुली हवा में, Tennis is an outdoor game.",,"室外, 屋外, 戸外","ulko-, ulkoilma","външен, на открито",,,,venkovní,,,,"koji je vani, na otvorenom, na čistom zraku, otvoreni, vanjska, vanjski","szabadtéri, külsô, szabadban történô, házon kívüli",,,,,,ao ar livre,,,,,,dışarıda yapılan.,
outdoors,/aʊtˈdɔː(ɹ)z/,,,"घर के बाहर, Children go and play outdoors.",,"室外, 屋外","ulkona, ulkoilma, ulos",,,,,venku,,,,"izvan kuće, napolje, priroda, van kuće, vani, čist zrak","szabadban, házon kívül, kinn, szabad ég alatt",,,,,,,,,,,,"dışarıya, dışarıda, açık havada, açık hava.",
outer,autər,,"exterior, externo","बाह्य, The outer layer of skin is made of cells and follicles., सुदूर, He stays, the address shows, in outer Mangolia., केन्द्रावसारी, There is some problem on the outer rim of the front wheel.",,,"reuna-, ulko-, ulommainen, ulko-",външен,,,,zevnější,,,,"vanjska, vanjski",külsô,esterne,,,"buiten‐, extern, uiterlĳk, uitwendig, buitenste",,"adventício, exterior, externo",,,,,,"dıştaki, dışarıdaki, hedef merkezi çevresindeki dairenin dış (kıs.)mı.outer space yıldızlar ve gezegenler arasındaki boşlukç outermost  en dıştaki.",
outline,autlain,"silhouette, esquisse",,"रूपरेखा, That is an outline map of Maharashtra.",,"あらまし, 粗筋, 荒筋, 概略, 概要, 中抜き, 外形, 輪郭, 概要, 輪郭描写, 主旨, 要旨","hahmotella, vetää yhteen","схема, контур, очертание, план, проект, скица",,,,naskicovat,amlinelliad,,,"crtati, glavne crte, koncept, kontura, konture, nacrt, nacrtati konture, obris, opći pregled, skica, skicirati","kontúr, áttekintés, körvonal, vázlat",progetto,,"kontūras, metmenys, eskizas, škicas, nusakymas bendrais bruožais, planas, pagrindai, pagrindiniai principai, kontūrinis (pvz. outline map), nubrėžti/nupiešti kontūrus, apmesti, škicuoti, nubrėžti/nusakyti bendrais bruožais","omlĳning, omtrek, schaduwbeeld, silhouet, aanleg, krabbel, ontwerp, schets",,"contorno, recorte, silhueta, esboço, delinear, traçar, contornar","a sublinia, subliniat",абрис,,silhuett,,"resim veya haritanın ana hatları, taslak, taslağını çizmek.",skets
output,/ˈaʊtpʊt/,,,"प्रक्षेपण करना, The computer can output uncountable bytes of information in a second.",,出力,"tuloste, tuotanto","извеждане, проду́кция, произво́дство",,,,objem výroby,allbwn,,,"dobitak, izlaz, izlazne, produkcija, proizvodnja, utržak","hozam, termelési eredmény, teljesítmény, termelés, kimenô teljesítmény, kimenet",,,"produkcija, išdirbis, išeiga, gavyba, (tech.) galingumas, (komp.) išvestis, gaunama informacija","eliminatie, ontwikkeling",,"saída, débito","a produce, produs, ieșire",,,,,"randıman, verim, elektrik enerjisi.",
outside,autsid,"en dehors de, dehors",fuera de,"बाह्य, The outside world could not care less., बाहर, The outside call costs a lot., कम, Steffi has an outside chance of returning to competitive tennis.",,外,"ulkoinen, ulkopuolinen",извън,utside,,,externí,tu allan i,,,"izvan, krajnost, najudaljeniji, najviši, napolju, vani, vanjski, vanjskih, vanjština","külsô rész, vminek a külseje, külsô, látszat, kinn, külsô oldal, legnagyobb, külszín, végsô, kívül, külseje vminek, külsô felület","esterne, fuori",,"išorė, išorinė pusė, kraštutinė riba, išorinis, galinis, iš lauko, iš išorės, lauke, kieme, už (ribų)","buiten, buiten‐, extern, uiterlĳk, uitwendig, daarbuiten, buitenwaarts, eruit, naar buiten, uitwaarts",,"afora, forade, adventício, exterior, externo, fora, defora",,,,ute,,"(edat) dış taraf, dış görünüş, dış, azami, en fazla, dışarıda, dışarıya, (edat) dışında. at the outside (k.dili) azami, olsa olsa. outside of (A.B.D.), (k.dili) -dan başka.",buite
outstanding,autstændiŋ,,,"अप्रतिम, ViShwanath Anand's outstanding game is amazing., सहजगम्य, That is an outstanding problem in that deal., अपूर्ण, Lots of outstanding work crowds the daily transactions.",,"傑出, 顕著","erinomainen, maksamaton, esiinpistävä, huomattava, merkittävä, silmäänpistävä","виден, изтъкнат, неразрешен, неизплатен, издаден, стърчащ, открояващ се","fremragende, utestående, utstående",,,vyjímečný,,,,"istaknut, izrazit, izrazite, izvanredan, neispunjen, neplaćen, nepodmiren, neriješen, poznat","kitûnô, kiemelkedô, kifizetetlen, nevezetes, esedékes, elintézésre váró, fennálló, elintézetlen, jelentôs, jeles, szembetûnô, kimagasló, nagy, elsôrendû, kiváló, rendkívüli, rendezetlen, hátralékos",,,,"achterstallig, onbetaald",,pendente,,,,,,"önemli, göze çarpan, kalmış (borç)",agterstallig
oven,ʌvn,"cuisinière, four, fourneau",estufa,"भट्टी, Take a loaf out of the oven.",,オーブン,uuni,"пещ, фу́рна",ovn,,,pec,popty,,,"peć, peći, pećnica, štednjak","kemence, sütô",,caminus,,"bakoven, kachel, oven",,"fogão, forno",,,,"kamin, spis",,fırın.,
over,ouvər,au‐dessus de,"acabado, terminado, encima de","नीचे गिरा हुआ, Handle the rose carefully. Don't knock it over., दूसरी ओर, Turn the patient over carefully., तक, He has gone over to France., वर्ष से ज्यादा, Children over fifteen need a full ticket on the journey., बचा हुआ, Is any food left over?, खतम, That is all over., बारबार, She has called up several times over.",,どうぞ,"-sta, huolimatta, suhteessa, yli, olla ylittänyt, ylitse, enemmän kuin, -sta, koskien, ohi, yli, jaettuna, per, yli, aikana, yli, ylitse, päällä, -lla, yllä, päällä, yli, yläpuolella, -lla, ohessa","повече от, делено на, през, над","over, forbi, over",,,příliš,drosodd,,lastuas,"amo, duž, iza, iznad, iznova, kroz, na, na drugoj strani, nad, potpuno, preko, prevršili, prijeko, prijelaz (u radiofoniji), više, više od, viši, širom","végig, befejezôdött, hanyatt, egész felületén, egészen, át, többlet-, ismételten, széltében, minden pontján, hátra, felsô, fel, mindenütt, szerteszéjjel, felett, keresztül, felesleges, vége, felüli, több, mint, hatos ütés (krikettben), felül, hosszú lövés, szerte, célon túl menô lövés, szaporítás (kötésben), célponton túl becsapódó lövedék, elmúlt, egész felszínén, túl, borító",laggiú,"super, supera","(pažymi vietą) virš, aukščiau, per, apie, po, (žymi laiko tarpą) iki, ant, ant viršaus, virš, daugiau, viršutinis, atliekamas, per didelis","afgelopen, afgewerkt, beëindigd, klaar, boven, meer dan, over, ruim, aan",,"acima de, sobre",,над,"тамо, ту",där,,"(edat), üzerinde, üstünde, üzerine, üstüne, yukarısına, yukarısında, bütün (zaman), karşıdan karşıya, karşıya kasma, öbür tarafına, boyunca, yukarıda, karşı tarafa, karşı tarafta, fazla, artık, tama- men, baştan başa, tekrar, yine, bitmiş, son bulmuş, öbür taraftaki, üstteki, yukarıki, üstün, aşırı, artan şey, ek. over again bir daha. over against karşısına, karşısında. over and above -(den.) fazla, -dan başka. over and over tekrar tekrar, üst üste, birbiri arkasından. over the barrel (A.B.D.), (k. dili) çaresiz durumda. over there orada, ta ötede. be over with bitmiş veya bitirmiş olmak. fall over düşmek, devrilmek. It' all over. Her şey bitti. make over üstüne devretmek. pay over money. para ödemek. play over tekrar çalmak veya oynamak. roll a stone over bir taşı yuvarlayıp tersine çevirmek. The water is running over. Su taşıyor. Run over to the neighbors. Bir koşu komşulara git. run over a man birini çiğnemek, adam ezmek (otomobil) talk over müzakere etmek. talk over the phone te- lefonla konuşmak. There are three left over. Üç tane kaldı. tip a boat over sandalı alabora etmek. turn over çevirmek, altüst etmek, devirmek, teslim etmek, havale etmek. win over taraftarlığını kazanmak.","oor, bo"
overall,ouvərɔːl,"total, entier","cabal, completo, entero, todo","सम्पूर्णतः, The computer industry shows an overall growth.",,,"kaiken kaikkiaan, ylipäänsä",изобщо,overall,,,kombinéza,,,,"cijelog, cjelini, cjelokupan, cjelokupnu, krajnji, opći, potpune, radno odijelo, sveobuhvatnoj, sveobuhvatnom, sveukupne, u cjelini","általában, mindenütt, otthonka, munkaköpeny, általános, teljes, iskolaköpeny, átfogó","completo, intero, totale, tutto",universus,"darbinis chalatas/drabužis, (pl.) specdrabužiai, kombinezonas, visas, bendras, visuotinis, visaapimantis, (sport., polit.) absoliutus, iš viso, aplamai, apskritai","geheel, algeheel, totaal, compleet, gans, heel, vol, volkomen, volslagen",,"total, totalitário, inteiro, todo",,,,"total, hel",,"baştan başa olan, bir uçtan bir uca olan, kapsayıcı, ayrıntılı, (İng.) iş tulumu.","totaal, hele, volledig"
overcome,/ˌoʊvəɹˈkʌm/,,,"वशीभूत कर लेना, She overcame the grief by engaging in work, हराना, Anand overcame Kaprov in the chess",,"乗り越える, 克服, 征服","valua yli, peitota, peittää, pitää jotakin vallassaan, voittaa, voittaa","превъзмогвам, преодолявам, побеждавам",,,,odolávat,goresgyn,,,"nadjačati, nadvladati, obuzeti, pobijediti, prevladavanje, savladati, shrvati",,,,,,,"superado, superar, vencer",,,,,,"(-came, -come) galip gelmek, alt etmek, yenmek, hakkından gelmek, gidermek, çaresini bulmak. be over come (with) etkilenmek.",
owe,ou,"avoir une dette, devoir",deber,"ऋणी~होना, She owes me $200",,"借りがある, 負う","olla velkaa, olla veloissa, olla velkaa","дължа, задължен съм",skylde,,,dlužit,,,,"biti obavezan, dugovati",,dovere,debere,"būti skolingam, būti dėkingam","in de schuld staan, schuldig zĳn, verschuldigd zĳn",,dever,,,,,,"borcu olmak, borçlu olmak, bir hissin etkisi altında olmak, minnettarı olmak.",skuld
own,oun,"posséder, personnel, propre","poseer, tener, propio","अपना, It is her own idea to start a school, ""own"",""VT"",""1.पास~होना"", He owns a farm in Delhi",,自身,"tunnustaa, omistaa","свой, со́бствен",eie,,,vlastnit,perchen,,,"biti u vlasništvu, imati, na vlastitu odgovornost, osobni, posjedovali, posjedovati, priznati, rođeni, svoj, vlastit, vlastite, vlastiti, vlastitih, vlastitoga, vlastitom","tulajdon, saját","possedere, proprio",possidere,"savas, nuosavas, tikras, valdyti, turėti, pripažinti, prisipažinti (to)","bezitten, erop nahouden, rĳk zĳn, eigen",,"próprio, pessoal, possuir, ter, ser proprietário",,собственный,,"innehava, äga",,"malik olmak, sahip olmak, tanımak, kabul etmek, doğrulamak, itiraf etmek, teslim etmek. own up (k. dili) tam ve doğru olarak itiraf etmek.","besit, eie"
owner,ounər,,"dueño, propietario","मालिक, He is the owner of a chain of hotels",,"所有者, オーナー, 主人, 持ち主",omistaja,"владе́тел, владе́телка, притежа́тел, притежа́телка, со́бственик, со́бственичка",,,,držitel,perchennog,,,"brodovlasnik, posjednik, vlasnik, vlasnika, vlasnikom, vlasniku",tulajdonos,,,"savininkas, valdytojas",eigenaar,,"dono, proprietário",proprietar,,,ägare,,"sahip mal sahibi. ownership  mülkiyet, sahiplik. owneroccupied  ing sahibinin oturduğu (ev, apartman)",eienaar
own up,,,,,,,,,,,,přiznat se k,,,,,,,,,,,,,,,,,,
pace 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pack,pæk,paquet,"empacar, envolver","पोटली, My father asked me to bring a pack of biscuits from the market., Everyday I carry a pack of books to school., समूह, A pack of scientists was sent to America for some research., Last Sunday a wild pack of wolves were brought down to the zoo from the jungles.",,"パック, 群れ","taakka, pakka, lauma","гру́па, вързо́п, денк, коло́да, глу́тница",kortstokk,,,balit,pacio,,,"denjak, družina, gomila, omot, paket, pakirati, svežanj, torba, upakirati, zamotati, čopor","halom, doboz, batyu, borogatás, jégtorlasz, tömeg, rakás, málha, pakli, falka, csomag, poggyász, csomó",avvolgere,,,"pakken, inpakken, verpakken, emballeren, pak, pakje, pakket",,"embrulho, pacote, embalar, empacotar, enfardar",a împacheta,,,"packa, packe",,"bohça, çıkın, denk, paket (sig.)ara), takım, sürü, köpek sürüsü, buz kütlesi, iskambil destesi, buz torbası, tampon, hastanın battaniyeye sarılması, hazır durumda paraşüt. pack animal yük hayvanı. pack ice bir araya toplanıp kitle haline gelmiş buz parçalan. pack rat bir cins büyük fare, (zool.) Neotoma. pack trail kervan yolu. pack of lies bir sürü yalan.","pak, pakket"
package,pækidʒ,,"empacar, envolver",,,"包む, 包装する, 梱包する","pakkaaminen, paketti, pakkaus, ryhmitys, pakettiloma, paketti","опаковане, пакет, паке́т",,,,balíček,pecyn,,,"ambalaža, koleto, kućište mikroelektroničke komponente ili sklopa, omot, paket, paketa, paketu, pakiranje, pošiljka, programski paket, standardni program, svežanj, zavežljaj",csomag,avvolgere,,,"pakken, inpakken, verpakken, colli, collo",,"pacote, empacotar",pachet,,,,,"paket, bohça, paket etme, denk balama, ambalaj ücreti, denk sandığı, ünite. package deal takımı ile alışveriş.",pak
packaging,,,,,,,"paketointi, pakkaaminen, pakkausteollisuus, pakkaus, pakkausmateriaali",,"innpakking, pakketering",,,obal výrobku,,,,"ambalaža, ambalaže, kutiju, pakiranje",,,,,,,,,,,,,,
packet,pækit,paquet,paquete,"पोटली, My mother asked me to bring a packet of biscuits from market.",,"パケット, 包み, 小包",paketti,"паке́т, паке́тче, пощенски кораб",pakke,,,balíček,paced,,,"kutija, paket, paketi, poruka, skupina bitova s korisnim podatcima i podatcima na, svežanj, zamotuljak","tehercsomag, kiscsomag, nyaláb, csomag, borítékolt bér, csomagolt darabáru, borítékolt fizetés, postahajó, teheráru, köteg, áruköteg",pacco,,,pakje,,pacote,pachet (mai mic decît package),,,paket,,"paket, çıkın, bohça, (den.) belirli günlerde yola çıkan posta gemisi.",pakkie
pack up,,,,,,荷造り,,,,,,sbalit,,,,,,,,,,,,,,,,,,
page,pædʒ,page,,पृष्ठ,,"ページ, 面, 頁","lehti, sivu, sivuttaa, taittaa, paašipoika, paaši, paašipoika","страница, лист, стра́ница, страница, набор, паж",side,side,,očíslovat stránky,tudalen,,,"mlad plemić, paž, sluga, strana, strana knjige, strana u knjizi, stranica, stranice, stranici, stranicu, stranično","szoknyafogó tû, szoknyafogó csat, egyenruhás kifutófiú, apród, lap, szoknyafelkötô zsinór, oldal, kisinas, szállodai kisinas",pagina,,"puslapis, numeruoti puslapius, pažas","boer, edelknaap, page, bladzĳde",,"escudeiro, pagem, lauda, página",pagină,страница,страница,,,"iç oğlanı, resmi kıyafetli el ulağı, otel garsonu, uşak, hoparlör ile çağırmak.",bladsy
pain,pein,"douleur, mal, peine",dolor,"दर्द, Her knee joint has a lot of pain., उसके घुटने के जोड़ में बहुत दर्द है., दुख़, She took lot of pains to get her daughter educated., उसने अपनी बेटी को पढ़ाने के लिए बहुत दुख उठाए.",,"傷付ける, 悲しませる","piinata, satuttaa, rangaista, piinata","боля, измъчвам, страдам",,,,bolet,poen,,pian,"bol, bola, boljeti, bolove, iritirati, ići na živce, jad, muka, mučiti, nanijeti bol, napor, nevolja, patnja, porođajni trudovi, potruditi se, trud, zaboljeti, zadati bol, čemer, žalost, žalostiti","kellemetlenség, fenyíték, szenvedés, fájás, gyötrelem, büntetés, kín, bosszúság, fájdalom, fenyítés",dolore,,"skausmas, kentėjimas, pastangos, bausmė, sukelti skausmą, kankinti, nuliūdinti, skaudėti","pĳn, wee, zeer",,"aflição, dor",,боль,бол,"pina, smärta, värk",,"ağrı, acı, sel, dert, keder, elem, ıstırap, azap, (çoğ.) özen, ihtimam, itina, zahmet meşakkat, (çoğ.) doğum sancıları. on pain of cezasıyle. take pains zahmet çekmek, dikkat etmek.",pyn
painful,peinfəl,pénible,,,,"痛みの伴う, 困難, 苦しい, 骨の折れる, 痛い","kivulias, tuskallinen, rasittava, raskas, työläs, kivulias, kipeä, tuskallinen","болезнен, труден, мъчителен",,,,bolestný,,,,"bolan, mučan, prebolne, težak",,doloroso,,,"deerlĳk, pĳnlĳk, smartelĳk, zeer",,doloroso,,болезненный,,"pinsam, smärtsam",,"ıstırap çektiren, zahmetli, güç, meşakkatli, üzücü, kederlendirici. painfully  ıstırap vererek, meşakkatle. painfulness  acı, ıstırap.",seer
paint,peint,"couleur, peinture, peindre, dépeindre","pintura, pintar","रंग~लगाना[होना], They could not paint the ceiling since it was too high., वे भीतरी~छत को रंग लगा नहीं पाए क्यों कि वह ऊँची थी. , Their dining room was painted pale blue., उनके भोजनालय को हलका नीला रंगा हुआ था., चित्रकारी~करना, This amateur artist paints well.  , यह अव्यवसायी चित्रकार अच्छी तरह चित्रकारी करता है.",,"塗る, 描く, 画く","värit, maali","боядисвам, изобразявам, рисувам","maling, lakk",,,lak,peintio,,,"boja, bojiti, ličiti, obojiti, reket, slikati, šminka",festék,"tingere, dipingere","colorare, pingere","dažai, (nu)dažyti, tapyti, (at)vaizduoti","kleuren, schilderen, verven, verf, afschilderen, uitschilderen",,"pintar, tinta, pincelar",,,,"färga, måla, färg",,"boyamak, boya vurmak, boya ile resmini yapmak, tasvir etmek, resmetmek, boya gibi sürmek, boyayarak süslemek, düzgün sürmek, boya ile resim yapmak, makyaj yapmak.",beskilder
painter,peintər,peintre,pintor,"चित्रकार, M.F.Hussain is a famous painter., एम.एफ.हुसैन एक प्रसिद्ध चित्रकार हैं., रंगनेवाला, The painters finished painting the house in two days., रंगनेवालों ने दो दिन में घर का रंगना पूर्ण किया.",,"画家, 絵描き","taidemaalari, maalari, maalari, taidemaalari, kiinnitysköysi","худо́жник, худо́жничка, бояджи́йка, бояджи́я, фалин",maler,,,malíř,,,,"konop zavezan na provi barke ili brodice a služi z, ličilac, maler, slikar, soboslikar","puma, vontatókötél, kugár, kikötôkötél, mázoló, festô, festômûvész, szobafestô",pittore,,"tapytojas, dažytojas","schilder, huisschilder, verver, kunstschilder",,pintor,,,сликар,målare,,"(den.) filika pariması, pruva halatı .",
painting,peintiŋ,,"cuadro, pintura","रंगचित्र, Raja Ravi Varma's paintings are very famous. , राजा रवी वार्मा के रंगचित्र बहुत प्रसिद्ध हैं., चित्रकारी, She is doing her post graduation in painting., वह चित्रकारी में स्नात्कोत्तर कर रही है.",,"絵画, 絵, 絵画","maalaus, maalaaminen, maalaustaide, maalaus","картина, живопис","maleri, malerkunst",,,natírání,,,,"bojanje, bojenje, likovna, nijansa, slika, slikanje, slikarstvo, umjetnička slika","festmény, kép, festés",pittura,,"paveikslas, tapyba, (nu)dažymas","doek, schilderĳ, schildering, schilderstuk",,pintura,,картина,слика,"målning, tavla",,"resim, tablo, ressamlık, nakkaşlık, resim yapma sanatı.",skildery
pair,pɛər,"apparier, couple, paire",tenazas,"जोड़ा~बनाना, She will be paired with her senior in a doubles match., डबल्स मैच में उसकी जोड़ी ज्येष्ठ खिलाड़ी के साथ बनेगी.",,"対, 対偶, ペア, 対, 一組, 対, ペア, 一対","parivaljakko, daisarit, pari","чифт, дво́йка, чифт, дво́йка",,,,pár,paru,,,"bračni par, dvoje, oženiti se, par, spariti se, udati se","egy pár, házaspár, fogat, pár",,combinare,,"duo, koppel, paar, stel, tweetal, paren, span, stelletje",,"par, casal, parelha",,,"двоје, пар","duo, par",,"(çoğ.) - çift, iki adet, bir erkekle bir dişiden ibaret bir çift, karı koca, gözlük veya makas gibi iki parçadan meydana gelen alet, iskambil oyununda eşdeğerde olan iki kâğıt, (konuşma dilinde bazen sayılardan sonra (çoğ.)ul anlamında tekil olarak kullanılır: four pair of shoes) pair of compasses pergel pair of pajamas. pijama. pair of pants pantolon. pair of scissors makas. pair of trousers pantolon. bridal pair gelin ve güvey.",
