id,en,zh,py,vi,vi2
639,There are mice in Mrs. Lee's kitchen!,李太太的厨房里有老鼠!,Lǐ tàitài de chúfáng lǐ yǒu lǎoshǔ!,Nhà bếp của bà Li có chuột!,lí phu nhân trong phòng bếp có chuột !
640,There is no one but hopes to be rich.,没有人不想发财。,Méiyǒurén bùxiǎng fācái.,Không ai không muốn làm giàu.,không ai không nghĩ phát tài .
641,There'll be some sport reviews on TV.,电视上会有一些体育评论。,Diànshì shàng huì yǒu yīxiē tǐyù pínglùn.,Sẽ có một số đánh giá thể thao trên TV.,trên TV sẽ có một ít thể dục bình luận .
642,This company is our regular customer.,这家公司是我们的老客户。,Zhè jiā gōngsī shì wǒmen de lǎo kèhù.,Công ty này là khách hàng cũ của chúng tôi.,này nhà công ty là ta nhóm mối khách cũ .
643,This is a good example of his poetry.,这是他诗作的一个好例子。,Zhè shì tā shīzuò de yīgè hǎo lìzi.,Đây là một ví dụ tốt về những bài thơ của ông.,đây là hắn thơ làm một hảo ví dụ .
644,What we read influences our thinking.,我们所阅读的书本会影响我们的思想。,Wǒmen suǒ yuèdú de shū běn kuài yǐngxiǎng wǒmen de sīxiǎng.,Những cuốn sách chúng tôi đọc sẽ ảnh hưởng đến suy nghĩ của chúng tôi.,chúng ta chỗ đọc sách bản hội ảnh hưởng chúng ta tư tưởng .
645,Words can't express what I felt then.,无法用语言形容我当时的感受。,Wúfǎ yòng yǔyán xíngróng wǒ dāngshí de gǎnshòu.,Tôi không thể mô tả cảm xúc của mình vào thời điểm đó.,không cách nào dùng ngôn ngữ hình dung ta ngay lúc đó cảm thụ .
646,You really have an ear for pop music.,你确实对流行音乐很有欣赏力。,Nǐ quèshí duì liúxíng yīnyuè hěn yǒu xīnshǎng lì.,Bạn thực sự có sự đánh giá cao về âm nhạc phổ biến.,ngươi quả thực đối lưu được âm nhạc rất có thưởng thức lực .
647,A bad workman quarrels with his tools.,手艺差的工人总是抱怨工具不好使。.,Shǒuyì chà de gōngrén zǒng shì bàoyuàn gōngjù bù hǎo shǐ. .,"Công nhân có nghề thủ công kém luôn phàn nàn rằng các công cụ không tốt. Sau đó, sau đó,",tay nghề kém công nhân luôn luôn phàn nàn công cụ không dùng được ..
648,Can you adapt yourself to the new job?,你能适应新的工作吗?,Nǐ néng shìyìng xīn de gōngzuò ma?,Bạn có thể thích nghi với các công việc mới?,ngươi có thể thích ứng mới công việc không ?
649,Does the computer ever make a mistake.?,计算机出错吗?,Jìsuànjī chūcuò ma?,Là lỗi máy tính?,máy tính phạm sai lầm không ?
650,Don't be uneasy about the consequence.,不必为后果忧虑不安。,Bù bì wèi hòuguǒ yōulǜ bù'ān.,Đừng lo lắng về hậu quả.,không cần làm hậu quả sầu lo bất an .
651,Even a child can answer this question.,即使小孩儿都能回答这个问题。,Jíshǐ xiǎohái ér dōu néng huídá zhège wèntí.,Ngay cả trẻ em cũng có thể trả lời câu hỏi này.,cho dù tiểu hài nhi đều có thể trả lời cái này vấn đề .
652,He has many strange ideas in his mind.,他脑子里尽足奇思怪想。,Tā nǎozi lǐ jǐn zú qí sī guài xiǎng.,Anh ấy thật kỳ lạ trong tâm trí anh ấy.,trong đầu hắn tận đủ cơ nghĩ quái nghĩ .
653,He is commonly supposed to be foolish.,他是公认的傻瓜。,Tā shì gōngrèn de shǎguā.,Anh ta là một kẻ ngốc được công nhận.,hắn được công nhận đồ ngốc .
654,He sat with his arms across the chest.,他双臂交叉于胸前的坐在那里。,Tā shuāng bì jiāochā yú xiōng qián de zuò zài nàlǐ.,Cánh tay anh đang ngồi đó trên ngực anh.,hai cánh tay hắn giao nhau tại trước ngực ngồi ở kia trong .
655,He set up a fine example to all of us.,他为我们树立了一个好榜样。,Tā wèi wǒmen shùlìle yīgè hǎo bǎngyàng.,Anh ấy làm gương tốt cho chúng tôi.,hắn là chúng ta tạo một gương tốt .
656,His cake is four times as big as mine.,他的蛋糕是我的四倍大。,Tā de dàngāo shì wǒ de sì bèi dà.,Bánh của anh ấy lớn bốn lần.,hắn bánh ngọt là của ta bốn lần lớn .
657,I do not care whether it rains or not.,我不管天会不会下雨。,Wǒ bùguǎn tiān huì bùhuì xià yǔ.,Tôi không quan tâm nếu trời mưa.,ta mặc kệ thiên hội sẽ không hạ mưa .
658,I have a lot in common with my sister.,我和我姐姐有很多相同之处。,Wǒ hé wǒ jiějiě yǒu hěnduō xiāngtóng zhī chù.,Em gái tôi và tôi có nhiều điểm tương đồng.,ta và tỷ tỷ của ta có rất nhiều chỗ tương đồng .
659,I haven't even touched your tooth yet.,我还没有碰到你的牙齿呢。,Wǒ hái méiyǒu pèng dào nǐ de yáchǐ ne.,Tôi chưa chạm vào răng của bạn.,ta còn chưa có đụng phải hàm răng của ngươi đâu .
660,I'm looking forward to a prompt reply.,盼迅速答复。,Pàn xùnsù dáfù.,Hy vọng sẽ trả lời nhanh chóng.,trông mong nhanh chóng trả lời chắc chắn .
661,It is an excellent novel in every way.,无论从哪方面来看，这都是一本优秀的小说。,"Wúlùn cóng nǎ fāngmiàn lái kàn, zhè dōu shì yī běn yōuxiù de xiǎoshuō.","Bằng mọi cách, đây là một cuốn tiểu thuyết xuất sắc.","bất kể từ chỗ nào phương diện đến xem , đây đều là một bản ưu tú tiểu thuyết ."
662,It is clear that the cat has eaten it!,很明显，是猫偷吃的!,"Hěn míngxiǎn, shì māo tōu chī de!","Rõ ràng, nó đã bị đánh cắp bởi một con mèo!","rất rõ ràng , là mèo ăn vụng !"
663,Nothing but death can part the couple.,除了死之外，什么也拆不散这一对。,"Chúle sǐ zhī wài, shénme yě chāi bú sàn zhè yī duì.","Ngoài cái chết, cặp này không thể bị loại bỏ.","ngoại trừ tử chi bên ngoài , gì cũng chia rẽ không được cái này một đôi ."
664,Now she looks pale as if she were ill.,现在她脸色难看，好像病了一样。,"Xiànzài tā liǎnsè nánkàn, hǎoxiàng bìngle yīyàng.","Bây giờ cô ấy trông xấu xí, như thể cô ấy bị bệnh.","bây giờ sắc mặt nàng khó coi , hình như bệnh giống nhau ."
665,She was injured badly in the accident.,她在这次意外中受到重伤。,Tā zài zhècì yìwài zhōng shòudào zhòngshāng.,Cô bị thương nặng trong vụ tai nạn này.,nàng lần này bất ngờ trong nhận trọng thương .
666,The secret was spread among the crowd.,秘密在人群当中传播开来。,Mìmì zài rénqún dāngzhōng chuánbò kāi lái.,Bí mật lan truyền trong đám đông.,bí mật ở trong đám người truyền bá ra .
667,The two brothers look very much alike.,这兄弟俩看上去很相像。,Zhè xiōngdì liǎ kàn shàngqù hěn xiāngxiàng.,Hai anh em trông rất giống nhau.,cái này hai huynh đệ nhìn qua vô cùng giống nhau .
668,Their interest is listening to others.,他们的兴趣是听别人说话。,Tāmen de xìngqù shì tīng biérén shuōhuà.,Sở thích của họ là lắng nghe người khác.,hứng thú của bọn hắn là nghe người khác nói chuyện .
669,There was a notice in the supermarket.,超市里有一个布告。,Chāoshì lǐ yǒu yīgè bùgào.,Có một thông báo trong siêu thị.,trong siêu thị có một bố cáo .
670,This one cannot compare with that one.,这个与那个无法比较。,Zhège yǔ nàgè wúfǎ bǐjiào.,Điều này không thể được so sánh với điều đó.,cái này và cái đó không cách nào tương đối .
671,To know everything is to know nothing.,样样通，样样松。,"Yàng yàng tōng, yàng yàng sōng.","Mẫu, lỏng lẻo.","mọi thứ thông , mọi thứ lỏng ."
672,"To tell the truth, I don't like disco.",说实话，我不喜欢迪斯科。,"Shuō shíhuà, wǒ bù xǐhuān dísīkē.","Thành thật mà nói, tôi không thích vũ trường.","nói thật , ta không thích nhảy disco ."
673,True and False have opposite meanings.,真与假含义完全相反。,Zhēn yǔ jiǎ hányì wánquán xiāngfǎn.,Ý nghĩa thực và sai là hoàn toàn ngược lại.,thật và giả hàm nghĩa đầy đủ tương phản .
674,What's the point of going to college?,上大学有何用?,Shàng dàxué yǒu hé yòng?,Việc sử dụng đại học là gì?,lên đại học để làm gì ?
675,Where can we make the insurance claim?,我们可以在哪里提出保险赔偿?,Wǒmen kěyǐ zài nǎlǐ tíchū bǎoxiǎn péicháng?,Chúng tôi có thể đề xuất bồi thường bảo hiểm ở đâu?,chúng ta có thể ở nơi nào đưa ra bảo hiểm bồi thường ?
676,Why don't I pick you up at your house?,为什么不让我去接你呢?,Wèishéme bù ràng wǒ qù jiē nǐ ne?,Tại sao không để tôi đón bạn?,vì sao không để cho ta đi đón ngươi đâu ?
677,Why don't you attend an aerobic class?,你为什么不去参加一个有氧健身班呢?,Nǐ wèishéme bù qù cānjiā yīgè yǒu yǎng jiànshēn bān ne?,Tại sao bạn không tham gia vào một lớp thể dục hiếu khí?,ngươi vì sao không tới tham gia một có dưỡng tập thể hình ban đâu ?
678,You can kill two birds with one stone.,一举两得。,Yījǔliǎngdé.,Hai điều.,nhất cử lưỡng tiện .
679,You can't go in no matter who you are.,不管你是谁，都不能进去。,"Bùguǎn nǐ shì shuí, dōu bùnéng jìnqù.","Bất kể bạn là ai, bạn không thể vào.","chẳng cần biết ngươi là ai , đều không thể vào đi ."
680,You should learn these words by heart.,你应该把这些词背熟。,Nǐ yīnggāi bǎ zhèxiē cí bèi shú.,Bạn nên quen thuộc với những từ này.,ngươi nên đem những thứ này từ học thuộc lòng .
681,Could I have those two tickets please?,这两张票给我行不行?,Zhè liǎng zhāng piào gěi wǒ xíng bùxíng?,Hai vé này có thể cho tôi không?,cái này hai tấm phiếu cho ta được hay không ?
682,He has to take care of his sick mother.,他得照顾他生病的母亲。,Tā dé zhàogù tā shēngbìng de mǔqīn.,Anh phải chăm sóc người mẹ ốm yếu của mình.,hắn được chăm sóc hắn sinh bệnh mẹ .
683,He hired a workman to repair the fence.,他雇用了一个工人修理围墙。,Tā gùyòngle yīgè gōngrén xiūlǐ wéiqiáng.,Anh ta thuê một công nhân để sửa chữa bức tường.,hắn thuê mướn một công nhân sửa chữa tường vây .
684,I can't make this machine run properly.,我无法使这部机器正常运转。,Wǒ wúfǎ shǐ zhè bù jīqì zhèngcháng yùnzhuǎn.,Tôi không thể làm cho máy này chạy bình thường.,ta không cách nào dùng bộ này máy móc vận chuyển bình thường .
685,I don't know if I'll have the patience.,我不知道我有没有耐心。,Wǒ bù zhīdào wǒ yǒu méiyǒu nàixīn.,Tôi không biết nếu tôi có sự kiên nhẫn.,ta không biết ta có hay không có kiên nhẫn .
686,I don't like what you are saying.,我不喜欢你说的话。,Wǒ bù xǐhuān nǐ shuō dehuà.,Tôi không thích những gì bạn nói.,ta không thích lời của ngươi nói .
687,I fell in love with her at first sight.,我第一眼见到她就爱上了她。,Wǒ dì yī yǎn jiàn dào tā jiù ài shàngle tā.,Tôi đã yêu cô ấy từ cái nhìn đầu tiên.,ta lần đầu tiên nhìn thấy nàng thì yêu nàng .
688,I have just heard from my sister Mary.,我刚收到我妹妹玛丽的一封信。,Wǒ gāng shōu dào wǒ mèimei mǎlì de yī fēng xìn.,Tôi vừa nhận được một lá thư từ chị gái Mary của tôi.,ta vừa lấy được em gái ta muội mã lệ một phong tin .
689,If you would only tryyou could do it.,只要你肯尝试，你一定能做这件事。,"Zhǐyào nǐ kěn chángshì, nǐ yīdìng néng zuò zhè jiàn shì.","Miễn là bạn sẵn sàng cố gắng, bạn có thể làm điều này.","chỉ cần ngươi chịu nếm thử , ngươi nhất định có thể làm chuyện này ."
690,It is no use learning without thinking.,学而不思则惘。,Xué ér bù sī zé wǎng.,Học mà không cần suy nghĩ.,học mà không nghĩ thì ngơ ngẩn .
691,It was a lazybreezy autumn afternoon.,这是一个懒散的，起风的秋日下午。,"Zhè shì yīgè lǎnsǎn de, qǐ fēng de qiū rì xiàwǔ.",Đây là một buổi chiều mùa thu lười biếng.,"đây là một lười biếng , gió bắt đầu thổi ngày mùa thu buổi chiều ."
692,Jack is the strongest boy in the class.,杰克是全班最强壮的男孩。,Jiékè shì quán bān zuì qiángzhuàng de nánhái.,Jack là cậu bé mạnh nhất trong lớp.,kiệt khắc là toàn lớp cường tráng nhất cậu trai .
693,Please fetch a chair from another room.,请到别的房间取一把椅子。,Qǐng dào bié de fángjiān qǔ yī bǎ yǐzi.,Vui lòng lấy một chiếc ghế trong các phòng khác.,mời đến phòng khác lấy một cái ghế .
694,The doctor began to operate on the boy.,医生开始给那个男孩动手术。,Yīshēng kāishǐ gěi nàgè nánhái dòng shǒushù.,Bác sĩ bắt đầu thực hiện phẫu thuật cho cậu bé.,bác sĩ bắt đầu cho người nam kia hài mổ .
695,The doctor is taking my blood pressure.,医生正给我量血压。,Yīshēng zhèng gěi wǒ liàng xiěyā.,Bác sĩ đang cho tôi huyết áp.,bác sĩ chính cho ta lượng huyết áp .
696,The machines will not operate properly.,那些机器不能正常运转。,Nàxiē jīqì bùnéng zhèngcháng yùnzhuǎn.,Những máy đó không thể chạy bình thường.,những kia máy móc không thể vận chuyển bình thường .
697,The students declared against cheating.,学生们表示反对作弊。,Xuéshēngmen biǎoshì fǎnduì zuòbì.,Học sinh bày tỏ sự phản đối của họ với gian lận.,các học sinh tỏ vẻ phản đối gian lận .
698,There is hope so long as he is with us.,只要他在就有希望。,Zhǐyào tā zài jiù yǒu xīwàng.,Miễn là anh ấy ở trong hy vọng.,chỉ cần hắn ở đây thì có hy vọng .
699,He talks as if he were the head of the office.,他说话的口气像办公室主任似的。,Tā shuōhuà de kǒuqì xiàng bàngōngshì zhǔrèn shì de.,Giọng ông giống như giám đốc văn phòng.,hắn nói chuyện khẩu khí như chủ nhiệm phòng làm việc dường như .
700,His cake is three times bigger than mine.,他的蛋糕比我的大三倍。,Tā de dàngāo bǐ wǒ de dà sān bèi.,Bánh của anh ấy lớn hơn ba lần so với tôi.,hắn bánh ngọt so với ta lớn gấp ba .
701,I am looking forward to your early reply.,希望早日得到你的答复。,Xīwàng zǎorì dédào nǐ de dáfù.,Hy vọng sẽ sớm nhận được câu trả lời của bạn.,hy vọng sớm ngày đạt được ngươi trả lời chắc chắn .
704,I don't know how to express my gratitude.,我不知道怎样来表达我的感激之情。,Wǒ bù zhīdào zěnyàng lái biǎodá wǒ de gǎnjī zhī qíng.,Tôi không biết làm thế nào để bày tỏ lòng biết ơn của mình.,ta không biết thế nào để diễn tả lòng cảm kích của ta .
705,I have to catch a plane. Could you hurry?,我要赶飞机。你能快点吗?,Wǒ yào gǎn fēijī. Nǐ néng kuài diǎn ma?,Tôi muốn bắt máy bay. Bạn có thể nhanh chóng?,ta muốn đuổi máy bay . ngươi có thể nhanh đến chút không ?
706,I haven't heard from her for a long time.,我好久没有她的消息了。,Wǒ hǎojiǔ méiyǒu tā de xiāoxīle.,Tôi không có tin tức trong một thời gian dài.,ta rất lâu không có tin tức của nàng .
707,I would like to wash the clothes for you.,我愿意帮你洗这些衣服。,Wǒ yuànyì bāng nǐ xǐ zhèxiē yīfú.,Tôi sẵn sàng giúp bạn giặt những bộ quần áo này.,ta vui lòng giúp ngươi rửa những thứ này trang phục .
708,Let me see your driver's licenseplease.,请让我看看你的驾驶执照。,Qǐng ràng wǒ kàn kàn nǐ de jiàshǐ zhízhào.,Hãy cho tôi xem giấy phép lái xe của bạn.,mời cho ta xem một chút ngươi bằng lái xe .
709,She goes to work every day except Sunday.,除星期天外，他每天去上班。,"Chú xīngqítiān wài, tā měitiān qù shàngbān.","Ngoại trừ Chủ nhật, anh ấy đi làm mỗi ngày.","trừ Chủ nhật bên ngoài , hắn mỗi ngày đi làm ."
710,Take a seat pleasemake yourself at home.,请坐，随便一点。,"Qǐng zuò, suíbiàn yīdiǎn.",Hãy ngồi và tình cờ.,"mời ngồi , tùy tiện một chút ."
711,The damage was caused by external forces.,损害是由外力引起的。,Sǔnhài shì yóu wàilì yǐnqǐ de.,Thiệt hại là do các lực lượng bên ngoài.,tổn hại là do ngoại lực đưa tới .
712,The doctor advised me to give up smoking.,医生建议我戒烟。,Yīshēng jiànyì wǒ jièyān.,Bác sĩ đề nghị tôi bỏ hút thuốc.,bác sĩ đề nghị ta cai thuốc .
713,The flowers make the room more beautiful.,花使房间变得更加美了。,Huā shǐ fángjiān biàn dé gèngjiā měile.,Hoa làm cho căn phòng đẹp hơn.,hoa dùng căn phòng trở nên càng thêm đẹp .
714,There is a good restaurant on the street.,那条大街上有一个很好的餐馆。,Nà tiáo dàjiē shàng yǒu yīgè hěn hǎo de cānguǎn.,Có một nhà hàng tốt trên con phố đó.,cái kia trên đường cái có một rất tốt nhà hàng .
715,They covered 120 miles in a single night.,他们仅一夜就走了120英里路。,Tāmen jǐn yīyè jiù zǒuliǎo 120 yīnglǐ lù.,Họ đi bộ 120 dặm chỉ qua đêm.,bọn họ vẻn vẹn một đêm liền đi 120 dặm Anh đường .
716,Try to look on the bright side of things.,尽量从好的方面看。,Jìnliàng cóng hǎo de fāngmiàn kàn.,Cố gắng nhìn vào các khía cạnh tốt.,tận lực theo phương diện tốt thấy .
717,What's your plan for the summer vacation?,你暑假打算干什么?,Nǐ shǔjià dǎsuàn gàn shénme?,Bạn sẽ làm gì trong kỳ nghỉ hè?,ngươi nghỉ hè dự định làm gì ?
718,You may pick whichever one you like best.,你可以挑你最喜欢的。,Nǐ kěyǐ tiāo nǐ zuì xǐhuān de.,Bạn có thể chọn yêu thích của bạn.,"ngươi có thể chọn ngươi thích nhất, ."
719,You're welcome to stay with us next time.,欢迎您下次再光临我们的饭店。,Huānyíng nín xià cì zài guāng lín wǒmen de fàndiàn.,Chào mừng đến với nhà hàng của chúng tôi vào lần tới.,chào mừng ngài lần sau lại quang lâm cơm của chúng ta cửa hàng .
720,There was a murder in London yesterday.,昨天伦敦发生了一起谋杀案。,Zuótiān lúndūn fāshēngle yīqǐ móushā àn.,Một vụ giết người xảy ra cùng nhau ngày hôm qua.,hôm qua luân thật thà đã xảy ra cùng nơi án mưu sát .
721,They stared at the huge tiger with awe.,他们敬畏地看着那头巨虎。,Tāmen jìngwèi de kànzhe nà tóu jù hǔ.,Họ nhìn con hổ khổng lồ kinh ngạc.,bọn họ kính sợ nhìn đầu kia cự hổ .
722,He never misses a chance to see a movie.,他从不错过看电影的机会。,Tā cóng bùcuòguò kàn diànyǐng de jīhuì.,Anh ấy không bao giờ bỏ lỡ cơ hội để xem một bộ phim.,hắn cũng không bỏ lỡ xem phim cơ hội .
723,I cannot put up with my noisy roommates.,我受不了我那些吵闹的室友了。,Wǒ shòu bùliǎo wǒ nàxiē chǎonào de shìyǒule.,Tôi không thể chịu được những người bạn cùng phòng ồn ào của mình.,ta nhịn không nổi ta những kia ầm ĩ bạn cùng phòng .
724,I will be back by the end of next month.,我下个月底会回来。,Wǒ xià gè yuèdǐ huì huílái.,Tôi sẽ trở lại vào cuối tháng tới.,ta cuối tháng sau lại quay về .
725,I'm good at freestyle and breast stroke.,我擅长自由泳和蛙泳。,Wǒ shàncháng zìyóuyǒng hé wāyǒng.,Tôi giỏi tự do và ngực.,ta am hiểu bơi tự do và bơi ếch .
726,It was your turn to wash them yesterday.,昨天轮到你把它们洗干净。,Zuótiān lún dào nǐ bǎ tāmen xǐ gānjìng.,Hôm qua là bước ngoặt của bạn để rửa chúng.,hôm qua đến phiên ngươi đem chúng nó rửa sạch sẽ .
727,Let's go out to have a dinner shall we?,咱们出去吃饭吧，好吗?,"Zánmen chūqù chīfàn ba, hǎo ma?","Hãy đi ăn tối, được không?","chúng ta ra ngoài ăn cơm đi , có được không ?"
728,Please push the ladder against the wall.,请把梯子靠在墙壁上。,Qǐng bǎ tīzi kào zài qiángbì shàng.,Xin hãy nghiêng thang trên tường.,xin đem cái thang tựa ở trên vách tường .
729,She is standing in the front of the bus.,她站在公共汽车的前部。,Tā zhàn zài gōnggòng qìchē de qián bù.,Cô đứng ở phía trước xe buýt.,nàng đứng ở xe công cộng trước bẫu .
730,The doctor asked me to watch what I eat.,医生要我注意饮食。,Yīshēng yào wǒ zhùyì yǐnshí.,Bác sĩ muốn tôi chú ý đến chế độ ăn kiêng.,bác sĩ muốn ta chú ý ẩm thực .
731,The grass is moist earl y in the morning.,清晨的草地湿漉漉的。,Qīngchén de cǎodì shīlùlù de.,Cỏ vào buổi sáng ẩm ướt.,sáng sớm bãi cỏ ướt sũng .
732,The test finished. We began our holiday.,考试结束了，我们开始放假。,"Kǎoshì jiéshùle, wǒmen kāishǐ fàngjià.","Bài kiểm tra đã kết thúc, và chúng tôi bắt đầu kỳ nghỉ.","khảo thí kết thúc , chúng ta bắt đầu nghỉ ."
733,This question is too complicated for me.,这个问题对我说来太复杂了。,Zhège wèntí duì wǒ shuō lái tài fùzále.,Câu hỏi này quá phức tạp đối với tôi.,cái này vấn đề nói với ta đến quá phức tạp đi .
734,Tony speaks English and he plays tennis.,托尼会说英语，打网球。,"Tuōní huì shuō yīngyǔ, dǎ wǎngqiú.",Tony sẽ nói tiếng Anh và chơi tennis.,"nắm ni sẽ nói tiếng Anh , đánh tennis ."
735,What is worth doing is worth doing well.,只要你觉得某事值得去做，就一定要把它做好。,"Zhǐyào nǐ juédé mǒu shì zhídé qù zuò, jiù yīdìng yào bǎ tā zuò hǎo.","Miễn là bạn nghĩ rằng một cái gì đó là đáng làm, bạn phải làm tốt.","chỉ cần ngươi cảm thấy chuyện gì đáng giá đi làm , thì nhất định phải đem nó làm tốt ."
736,Would you like to go to a party with me?,你想不想和我一起去参加一个聚会?,Nǐ xiǎng bùxiǎng hé wǒ yīqǐ qù cānjiā yīgè jùhuì?,Bạn có muốn đi dự tiệc với tôi không?,ngươi nghĩ không muốn cùng ta cùng đi tham gia một tụ hội ?
737,All at oncea rabbit came out of a hole.,突然，一只兔子从一个洞中跑了出来。,"Túrán, yī zhī tùzǐ cóng yīgè dòng zhōng pǎole chūlái.","Đột nhiên, một con thỏ chạy ra khỏi một cái lỗ.","đột nhiên , một con con thỏ theo một cái hố chạy vừa ra đây ."
738,All characters in the book are imaginary.,书中所有的人物都是虚构的。,Shū zhōng suǒyǒu de rénwù dōu shì xūgòu de.,Tất cả các nhân vật trong cuốn sách là hư cấu.,trong sách tất cả nhân vật đều là hư cấu .
739,Do you feel like going to that new disco?,你想去那个新开的迪厅吗？,Nǐ xiǎng qù nàgè xīnkāi de dí tīng ma?,Bạn có muốn đến Defie Hall mới mở không?,ngươi muốn đi cái đó mới mở sàn nhảy không ?
740,Ducks know how to swim when they are born.,鸭子天生会游泳。,Yāzi tiānshēng huì yóuyǒng.,Vịt đang bơi tự nhiên.,con vịt trời sinh biết bơi .
741,He spent most of his life gathering money.,他一生大部分时间用来积聚钱财。,Tā yīshēng dà bùfèn shíjiān yòng lái jījù qiáncái.,Anh ta thường tích lũy tiền trong phần lớn cuộc đời mình.,hắn cả đời phần lớn thời gian dùng để dành dụm tiền tài .
742,He usually stays at home with his pet dog.,他通常跟他的爱犬待在家里。,Tā tōngcháng gēn tā de àiquǎn dài zài jiālǐ.,Anh ta thường ở nhà với con chó của mình.,hắn bình thường cùng hắn ái khuyển đợi trong nhà .
743,How peaceful and beautiful the country is!,多么平静美丽的国家呀!,Duōme píngjìng měilì de guójiā ya!,Thật là một đất nước bình tĩnh và xinh đẹp!,cỡ nào bình tĩnh xinh đẹp đất nước nha !
744,I am told that you dance wonderfully well.,我听说你的舞跳得特棒。,Wǒ tīng shuō nǐ de wǔ tiào dé tè bàng.,Tôi nghe nói rằng điệu nhảy của bạn nhảy rất đặc biệt.,ta nghe nói ngươi vũ nhảy được đặc biệt tốt .
745,I have had several conversations with him.,我已经和他谈过几次了。,Wǒ yǐjīng hé tā tánguò jǐ cìle.,Tôi đã nói chuyện với anh ấy một vài lần.,ta đã và hắn nói qua mấy lần .
746,It is the best film that I have ever seen.,这是我所看过的最好的电影。,Zhè shì wǒ suǒ kànguò de zuì hǎo de diànyǐng.,Đây là bộ phim hay nhất tôi đã xem.,đây là ta xem qua tốt nhất phim chiếu rạp .
747,It's only a party in honor of my birthday.,这只是为了庆祝我的生日而举行的晚会。,Zhè zhǐshì wèile qìngzhù wǒ de shēngrì ér jǔxíng de wǎnhuì.,Đây chỉ là một bữa tiệc được tổ chức để chúc mừng sinh nhật của tôi.,đây chỉ là để ăn mừng sinh nhật của ta mà cử hành tiệc tối .
748,Learning English is like building a house.,学英语象盖房子。,Xué yīngyǔ xiàng gài fángzi.,Học tiếng Anh như xây dựng một ngôi nhà.,học tiếng Anh tượng lợp nhà .
749,Listening with your heart is good for you.,专心聆听别人说话对你有好处。,Zhuānxīn língtīng biérén shuōhuà duì nǐ yǒu hǎochù.,Tập trung lắng nghe người khác là tốt cho bạn.,chuyên tâm lắng nghe người khác nói chuyện đối với ngươi có chỗ tốt .
750,My grandpa died of hunger in the old days.,我爷爷在旧社会死于饥饿。,Wǒ yéyé zài jiù shèhuì sǐ yú jī'è.,Ông tôi đã chết vì đói trong xã hội cũ.,gia gia của ta đang xã hội xưa chết bởi đói khát .
751,She feared staying alone in the farmhouse.,她害怕一个人留在农舍里。,Tā hàipà yīgèrén liú zài nóngshè lǐ.,Cô sợ rằng cô sẽ ở trong trang trại.,nàng sợ hãi một người lưu tại nông trại trong .
752,She guided the tourists around the castle.,她引导旅游者参观了这座城堡。,Tā yǐndǎo lǚyóu zhě cānguānle zhè zuò chéngbǎo.,Cô hướng dẫn khách du lịch đến thăm lâu đài.,nàng dẫn đạo khách du lịch đi thăm tòa pháo đài này .
753,She runs everyday in order to lose weight.,她每天都跑步是为了减肥。,Tā měitiān dū pǎobùshì wèile jiǎnféi.,Cô chạy mỗi ngày để giảm cân.,nàng mỗi ngày đều chạy bộ là vì giảm béo .
754,She sang perfectly in the hall last night.,她昨晚在大厅唱得非常好。,Tā zuó wǎn zài dàtīng chàng dé fēicháng hǎo.,Cô ấy đã hát rất tốt đêm qua.,nàng tối hôm qua ở đại sảnh hát được phi thường tốt .
755,Somebody is always complaining to others.,有人总是向别人抱怨。,Yǒurén zǒng shì xiàng biérén bàoyuàn.,Một số người luôn phàn nàn với người khác.,có người luôn luôn hướng người khác phàn nàn .
756,They don't often have a bad day this year.,他们今年的运气还不错。,Tāmen jīnnián de yùnqì hái bùcuò.,Họ may mắn trong năm nay.,bọn họ năm nay vận khí còn không tệ .
757,We regard the matter as nothing important.,我们认为这件事情不重要。,Wǒmen rènwéi zhè jiàn shìqíng bù chóng yào.,Chúng tôi nghĩ rằng điều này không quan trọng.,chúng ta nhận là chuyện này tình không nặng muốn .
758,We'll take our holiday sometime in August.,我们将在八月份的某个时候休假。,Wǒmen jiàng zài bā yuèfèn de mǒu gè shíhòu xiūjià.,Chúng tôi sẽ có một kỳ nghỉ vào một lúc nào đó vào tháng Tám.,chúng ta sẽ tại tháng tám một thời điểm nào đó nghỉ ngơi .
759,Could you direct me to the stationplease?,请问到车站怎么走?,Qǐngwèn dào chēzhàn zěnme zǒu?,Làm thế nào để đến nhà ga?,xin hỏi đến trạm xe đi như thế nào ?
760,Have you cleared your luggage with customs ?,你的行李通关了吗?,Nǐ de xínglǐ tōngguānle ma?,Có phải giải phóng mặt bằng hành lý của bạn?,hành lý của ngươi qua cửa không ?
761,He bothered me with a great many questions.,他对我提了一大堆问题，真烦!,"Tā duì wǒ tíle yī dà duī wèntí, zhēn fán!","Anh ấy hỏi tôi rất nhiều câu hỏi, nó thực sự khó chịu!","hắn đối với ta đề một đống lớn vấn đề , thật phiền !"
762,He does exercises every day in the morning.,他每天早上锻练身体。,Tā měitiān zǎoshang duànliàn shēntǐ.,Anh ấy tập thể dục cơ thể mỗi sáng.,hắn mỗi sáng sớm rèn luyện cơ thể .
763,How do I control myself? I can't calm down.,我怎能控制我自己?我无法冷静下来。,Wǒ zěn néng kòngzhì wǒ zìjǐ? Wǒ wúfǎ lěngjìng xiàlái.,Làm thế nào tôi có thể kiểm soát bản thân? Tôi không thể bình tĩnh.,ta có thể nào khống chế ta tự mình ? ta không cách nào tỉnh táo lại đến .
