id,zh,py,en,vi,HSK,s1zh,s1py,s1en,s1vi
2308,腰,yāo,"waist, lower back, pocket, middle, loins",eo,5,我起床后舒服地伸了个懒腰。,wǒ qǐchuáng hòu shūfu dì shēn le gè lǎnyāo,I got out of the bed and had a good stretch.,ta sau khi rời giường thoải mái mà duỗi lưng một cái .
2309,摇,yáo,"to shake, to rock, to row",dao,5,他摇摇头，因为他的想法与此不同。,tā yáo yáotóu yīnwèi tā de xiǎngfǎ yǔ cǐ bùtóng,"He shook his head, for he thought differently.","hắn lắc đầu , bởi vì hắn ý nghĩ và này khác nhau ."
2310,咬,yǎo,"to bite, to nip",cắn,5,"留心那条狗, 有时候咬人.",liúxīn nà tiáo gǒu yǒushíhou yǎo rén,Be careful of the dog; it sometimes bites people.,"lưu tâm con chó kia , có đôi khi cắn người ."
2311,要不,yào bù,"otherwise, or else, how about...?, either... (or...)",nếu không,5,只要不吃得太多，你可以吃任何东西。,zhǐyào bù chī dé tài duō nǐ kěyǐ chī rènhé dōngxi,"You may eat anything, so long as you don't eat too much.","chỉ cần không ăn được quá nhiều , ngươi có thể ăn bất luận gì đó ."
2312,要是,yào shi,if,nếu,5,要是我再有一次机会就好了。,yàoshi wǒ zài yǒuyīcì jīhuì jiù hǎole,If only I had another chance.,nếu ta lại có một cơ hội liền tốt .
2313,夜,yè,night,đêm,5,昨夜温度是零下五度。,zuóyè wēndù shì língxià wǔdù,It was five below zero last night.,đêm qua nhiệt độ là âm năm độ .
2314,液体,yè tǐ,liquid,chất lỏng,5,加入的液体太多，混合液的浓度就不够。,shǒushù chénggōng le bìngrén xiànzài yǐ tuōlíwēixiǎn,If you add too much liquid the mixture will not be thick enough.,"gia nhập chất lỏng quá nhiều , hỗn hợp dịch nồng độ thì chưa đủ ."
2315,业务,yè wù,"business, professional work, service",nghiệp vụ,5,他们对办理的每项业务收取一定的费用。,tāmen duì bànlǐ de měi xiàng yèwù shōuqǔ yīdìng de fèiyòng,They charge a fixed rate for each transaction.,bọn họ đối với làm mỗi hạng nghiệp vụ thu lấy nhất định phí tổn .
2316,业余,yè yú,"spare time, amateur, extra-curricular",nghiệp dư,5,他是一个业余画家。,tā shì yī gè yèyú huàjiā,He is an amateur painter.,hắn là một nghiệp dư hoạ sĩ .
2317,依然,yī rán,"still, as before",y nguyên,5,人命与萝卜依然是多而且便宜。,rénmìng yǔ luóbo yīrán shì duō érqiě piányi,Human life and turnip remain cheap and plentiful.,nhân mạng và củ cải vẫn là nhiều với lại tiện nghi .
2318,一辈子,yī bèi zi,(for) a lifetime,cả đời,5,她一辈子搞戏剧。,tā yībèizi gǎo xìjù,She is been in the theater all her life.,nàng cả đời làm hí kịch .
2319,一旦,yī dàn,"in case (sth happens), if, once (sth happens, then...), when, in a short time, in one day",một khi,5,当一个人一旦认为自己是有意思的时候，他就不再是有意思的人了。,dāng yīgèrén yīdàn rènwéi zìjǐ shì yǒuyìsi de shíhou tā jiù bùzài shì yǒuyìsi de rén le,"The minute a man is convinced that he is interesting, he is not.","lúc một người một khi nhận là tự mình là thú vị lúc , hắn liền không còn là thú vị người ."
2320,一路,yī lù,"the whole journey, all the way, going the same way, going in the same direction, of the same kind",một đường,5,那狗一路跟在我身旁边喘边跑.,nà gǒu yīlù gēn zài wǒ shēn pángbiān chuǎn biān pǎo,The dog panted along (the road) beside me.,con chó kia một đường đi theo ta bên cạnh bên cạnh thở gấp bên cạnh chạy .
2321,一致,yī zhì,"unanimous, identical (views or opinions)",nhất trí,5,我们在这个问题上是团结一致的.,wǒmen zài zhège wèntí shàng shì tuánjié yīzhì de,We are solidly united on this issue.,chúng ta trong vấn đề này là đoàn kết nhất trí .
2322,遗憾,yí hàn,"regret, to regret, to be sorry that",tiếc nuối,5,很遗憾，你没有得到那份工作。,hěn yíhàn nǐ méiyǒu dédào nà fèn gōngzuò,I'm sorry that you didn't get the job.,"thật đáng tiếc , ngươi không có đạt được vậy một công việc ."
2323,移动,yí dòng,"to move, movement, migration, mobile, portable",di động,5,我连移动双脚的力气都几乎没有了。,wǒ lián yídòng shuāngjiǎo de lìqi dōu jīhū méiyǒu le,I have hardly enough strength left to move my feet.,ta ngay cả di động hai chân khí lực đều cơ hồ không có .
2324,移民,yí mín,"to immigrate, to migrate, emigrant, immigrant",di dân,5,移民到这个国家有严格的限制。,yímín dào zhège guójiā yǒu yángé de xiànzhì,There are strict controls on immigration into this country.,di dân đến cái này đất nước có nghiêm khắc hạn chế .
2325,疑问,yí wèn,"question, interrogation, doubt",nghi vấn,5,这是毫无疑问的。,zhè shì háowúyíwèn de,There's no question about it.,đây là không hề nghi ngờ .
2326,乙,yǐ,"second of 10 heavenly stems 十天干, second in order, letter 'B' or roman 'II' in list 'A', 'B', 'C', or 'I', 'II', 'III' etc, second party (in legal contract, usually 乙方, as opposed to 甲方), ethyl, bent, winding, radical in Chinese characters (Kangxi radical 5)",ất,5,一剂乙醚几秒钟后就会使你失去知觉。,yī jì yǐmí jǐ miǎozhōng hòu jiù huì shǐ nǐ shīqù zhījué,A whiff of ether will put you out in a few seconds.,một tề ất ê-te vài giây đồng hồ sau rồi sẽ khiến cho ngươi chết tri giác .
2327,以及,yǐ jí,"as well as, too, and",cùng với,5,她显然丝毫也不顾及别人以及别人的感情.,tā xiǎnrán sīháo yě bù gùjí biéren yǐjí biéren de gǎnqíng,She shows a total disregard for other people and their feelings.,nàng không còn nghi ngờ gì nữa mảy may cũng không để ý và người khác cùng với tình cảm của người khác sao .
2328,以来,yǐ lái,since (a previous event),đến nay,5,自从我上次离开这里以来，这小城已变得认不出来了。,zìcóng wǒ shàngcì líkāi zhèlǐ yǐlái zhè xiǎochéng yǐ biànde rèn bù chūlái le,The town has altered out of all recognition since I was last here.,"từ ta lần trước rời khỏi ở đây đến nay , tòa thành nhỏ này đã trở nên không nhận ra được ."
2329,意外,yì wài,"unexpected, accident, mishap",bất ngờ,5,我们复制了计算机磁盘以防意外。,wǒmen fùzhì le jìsuànjī cípán yǐfáng yìwài,We make copies of our computer disks as a safeguard against accidents.,chúng ta phục chế máy tính ổ đĩa cứng để phòng bất ngờ .
2330,意义,yì yì,"sense, meaning, significance, importance",ý nghĩa,5,这是本有教育意义的书。,zhè shì běn yǒu jiàoyù yìyì de shū,This is an instructive book.,đây là vốn có giáo dục ý nghĩa sách .
2331,议论,yì lùn,"to comment, to talk about, to discuss, discussion",nghị luận,5,我知道他们和你在议论我。,wǒ zhīdào tāmen hé nǐ zài yìlùn wǒ,I know they have been discussing me with you.,ta biết rồi bọn họ và ngươi đang nghị luận ta .
2332,义务,yì wù,"duty, obligation, commitment, volunteer duty",nghĩa vụ,5,政府号召青年义务献血。,zhèngfǔ hàozhào qīngnián yìwù xiànxuè,The government calls on the youth to donate their blood voluntarily.,chính phủ hiệu triệu thanh niên nghĩa vụ hiến máu .
2333,因而,yīn ér,"therefore, as a result, thus, and as a result, ...",cho nên,5,她姿色迷人，因而评委都偏向她。,tā zīsè mírén yīn'ér píngwěi dōu piānxiàng tā,Her charm prejudiced the judges in her favour.,"nàng tư sắc mê người , cho nên ban giám khảo đều khuynh hướng nàng ."
2334,因素,yīn sù,"element, factor",nhân tố,5,我们经济的决定性因素是控制通货膨胀。,wǒmen jīngjì de juédìngxìng yīnsù shì kòngzhì tōnghuòpéngzhàng,The determinate factor of our economy is to control inflation.,chúng ta kinh tế tính quyết định nhân tố là khống chế lạm phát .
2335,银,yín,"silver, silver-colored, relating to money or currency",ngân,5,那家破产的银行正被法院调查。,nà jiā pòchǎn de yínháng zhèng bèi fǎyuàn diàochá,The bank of bankruptcy is investigated by the court.,nhà kia phá sản ngân hàng đang bị toà án điều tra .
2336,英俊,yīng jùn,handsome,anh tuấn,5,当那位英俊的电影明星吻她的时候，她欣喜若狂。,dāng nà wèi yīngjùn de diànyǐng míngxīng wěn tā de shíhou tā xīnxǐruòkuáng,She was thrilled when the handsome filmstar kissed her.,"lúc vị kia anh tuấn minh tinh điện ảnh hôn nàng lúc , nàng mừng rỡ như điên ."
2337,英雄,yīng xióng,hero,anh hùng,5,他绝不是一个英雄。,tā jué bùshì yī gè yīngxióng,He was anything but a hero.,hắn chắc chắn không phải một cái anh hùng .
2338,迎接,yíng jiē,"to meet, to welcome, to greet",nghênh đón,5,孩子们飞跑过去迎接妈妈.,háizimen fēipǎo guòqu yíngjiē māma,The children flew to meet their mother.,bọn nhỏ chạy như bay đi qua nghênh đón mama .
2339,营养,yíng yǎng,"nutrition, nourishment",dinh dưỡng,5,这些蔬菜中的营养部分全都给煮掉了。,zhèxiē shūcài zhòngdì yíngyǎng bùfen quándōu gěi zhǔ diào le,All the goodness has been boiled off the vegetables.,những thứ này sơ trong thức ăn dinh dưỡng bộ phận tất cả đều cho nấu rụng mất .
2340,营业,yíng yè,"to do business, to trade",kinh doanh,5,"这家饭店除星期一外, 每天都营业.",zhè jiā fàndiàn chú Xīngqīyī wài měitiān dōu yíngyè,The restaurant is open every day except Monday.,"nhà này tiệm cơm trừ thứ Hai bên ngoài , mỗi ngày đều kinh doanh ."
2341,影子,yǐng zi,"shadow, reflection",bóng dáng,5,"太阳很低时, 物体的影子就很长.",tàiyang hěn dī shí wùtǐ de yǐngzi jiù hěn cháng,Shadows are longer when the sun is low in the sky.,"mặt trời rất thấp thời gian , vật thể bóng dáng thì rất dài ."
2342,硬币,yìng bì,coin,tiền xu,5,他把硬币倒过来，仔细检查。,tā bǎ yìngbì dǎo guòlái zǐxì jiǎnchá,He reversed the coin and examined it carefully.,"hắn đem tiền xu ngược lại đến , cẩn thận kiểm tra ."
2343,硬件,yìng jiàn,hardware,phần cứng,5,我对计算机硬件一窍不通。,wǒ duì jìsuànjī yìngjiàn yīqiàobùtōng,I know nothing about computer hardware.,ta đối với máy tính phần cứng nhất khiếu bất thông .
2344,应付,yìng fu,"to deal with, to cope",ứng phó,5,我希望我能穿一件深色的衣服把这个正式场合应付过去。,wǒ xīwàng wǒ néng chuān yī jiàn shēnsè de yīfu bǎ zhège zhèngshì chǎnghé yìngfu guòqu,I hope I can get by in a dark suit for this formal occasion.,ta hy vọng ta có thể mặc một bộ sẫm màu trang phục đem cái này chính thức trường hợp ứng phó đi qua .
2345,应聘,yìng pìn,"to accept a job offer, to apply for an advertised position",nhận lời mời,5,本人欲应聘今天＜中国日报＞上刊登的征聘行政秘书一职。,běnrén yù yìngpìn jīntiān Zhōngguó Rìbào shàng kāndēng de zhēngpìn xíngzhèng mìshū yī zhí,"I am applying for the position of executive secretary, advertised in today's China Daily.",bản thân muốn nhận lời mời hôm nay < Trung Quốc nhật báo > lên đăng tìm bí thư hành chính chức .
2346,应用,yìng yòng,"to use, to apply, application, applicable",ứng dụng,5,无铅汽油的应用现正逐步推广.,wú qiān qìyóu de yìngyòng xiàn zhèng zhúbù tuīguǎng,The use of lead-free petrol is now being phased in.,không chì xăng ứng dụng hiện chính từng bước mở rộng .
2347,拥抱,yōng bào,"to embrace, to hug",ôm,5,见面时，他拥抱了她。,jiànmiàn shí tā yōngbào le tā,He enfolded her when they met.,"gặp mặt thời gian , hắn ôm nàng ."
2348,拥挤,yōng jǐ,"crowded, to throng, congestion",chen chúc,5,乘客们拥挤在火车站上等候乘车。,chéngkè men yōngjǐ zài huǒchēzhàn shàng děnghòu chéngchē,Passengers thronged the station waiting for their trains.,các hành khách chen chúc đang nhà ga thượng đẳng đợi đón xe .
2349,勇气,yǒng qì,"courage, valor",dũng khí,5,我觉得我没有勇气告诉他这个坏消息。,wǒ juéde wǒ méiyǒu yǒngqì gàosu tā zhège huài xiāoxi,I don't think I have the courage to tell him the bad news.,ta nghĩ ta không có dũng khí nói cho hắn biết tin tức xấu này .
2350,用途,yòng tú,"use, application",công dụng,5,工程学将科学及数学原理运用于实际用途的应用手段，如设计、制造及对高效经济构造、机器、进程及系统进行操纵管理,gōngchéngxué jiāng kēxué jí shùxué yuánlǐ yùnyòng yú shíjì yòngtú de yìngyòng shǒuduàn rú shèjì zhìzào jí duì gāoxiào jīngjì gòuzào jīqì jìnchéng jí xìtǒng jìnxíng cāozòng guǎnlǐ,"The application of scientific and mathematical principles to practical ends such as the design, manufacture, and operation of efficient and economical structures, machines, processes, and systems.","công trình học đem khoa học và toán học nguyên lý vận dụng cho thực tế công dụng ứng dụng thủ đoạn , như thiết kế , chế tạo và đối với hiệu suất cao kinh tế cấu tạo , máy móc , tiến trình và hệ thống tiến hành thao túng quản lý"
2351,优惠,yōu huì,"preferential, favorable",ưu đãi,5,他从商店里得到了几张优惠券。,tā cóng shāngdiàn lǐ dé dàoliǎo jǐ zhāng yōuhuìquàn,He redeemed several coupons at the store.,hắn theo trong cửa hàng đạt được mấy tờ ưu đãi khoán .
2352,优美,yōu měi,"graceful, fine, elegant",ưu mỹ,5,风景优美，非文字所能形容。,fēngjǐng yōuměi fēi wénzì suǒnéng xíngróng,The scenery is too beautiful for words.,"phong cảnh tươi đẹp , không phải văn tự có khả năng hình dung ."
2353,优势,yōu shì,"superiority, dominance, advantage",ưu thế,5,大多数人的右手是优势手。,dàduōshù rén de yòushǒu shì yōushì shǒu,The right hand is dominant in most people.,đại đa số người tay phải là ưu thế tay .
2354,悠久,yōu jiǔ,"established, long",lâu đời,5,中国是一个有着悠久历史的东方国家。,Zhōngguó shì yī gè yǒuzhe yōujiǔ lìshǐ de dōngfāng guójiā,China is an oriental country with a long history.,Trung Quốc là một có lâu đời lịch sử phương Đông đất nước .
2355,邮局,yóu jú,post office,bưu cục,5,他去邮局买些邮票。,tā qù yóujú mǎi xiē yóupiào,He went to the post-office to buy some stamps.,hắn đi bưu cục mua chút ít tem .
2356,游览,yóu lǎn,"to go sight-seeing, to tour, to visit",du lãm,5,这个地方笼罩在神秘气氛下，继续使游览者着迷。,zhège dìfang lǒngzhào zài shénmì qìfēn xià jìxù shǐ yóulǎn zhě zháomí,"The place continues to fascinate visitors, cloaked in its mystery.","cái này chỗ bao phủ đang thần bí bầu không khí hạ , tiếp tục dùng du khách mê muội ."
2357,油炸,yóu zhá,to deep fry,dầu chiên,5,,,,
2358,犹豫,yóu yù,to hesitate,do dự,5,"他在外面犹豫徘徊, 因过於胆怯而不敢进去.",tā zài wàimiàn yóuyù páihuái yīn guò yú dǎnqiè ér bù gǎn jìnqù,"He hovered about outside, too afraid to go in.","hắn ở đây bên ngoài do dự bồi hồi , bởi vì qua với khiếp đảm mà không dám vào đi ."
2359,有利,yǒu lì,"advantageous, to have advantages, favorable",có lợi,5,"比分为3比1, 对我方有利。",bǐ fēnwéi bǐ duì wǒfāng yǒulì,The score was 3 to 1 in our favor.,"điểm số là 3 so với 1, đối với bên ta có lợi ."
2360,幼儿园,yòu ér yuán,"kindergarten, nursery school",nhà trẻ,5,那个幼儿园里的孩子很多。,nàge yòu'éryuán lǐ de háizi hěn duō,There are many children in the kindergarten.,cái đó trong vườn trẻ đứa nhỏ rất nhiều .
2361,娱乐,yú lè,"to entertain, to amuse, entertainment, recreation, amusement, hobby, fun, joy",giải trí,5,这个中心提供各种娱乐活动设施。,zhège zhōngxīn tígōng gèzhǒng yúlè huódòng shèshī,The center provides facilities for a whole range of leisure activities.,cái này trung tâm cung cấp các loại giải trí hoạt động công trình .
2362,与其,yǔ qí,"rather than..., 與其|与其 A 不如 B (rather than A, better to B)",và ,5,你与其要他减价还不如求助于一棵树。,nǐ yǔqí yào tā jiǎnjià háibùrú qiúzhù yú yī kē shù,You might as well ask the tree for help as request him to reduce the price.,ngươi và muốn hắn giảm giá còn không bằng cầu trợ ở một cái cây .
2363,语气,yǔ qì,"tone, manner of speaking, mood",ngữ khí,5,她需要使请求语气柔婉，以便尽可能把它变成有礼貌与客气。,tā xūyào shǐ qǐngqiú yǔqì róu wǎn yǐbiàn jǐnkěnéng bǎ tā biànchéng yǒulǐmào yǔ kèqi,She needed to soften her request to make it as polite and courteous as she could.,"nàng cần dùng đề xuất ngữ khí nhu uyển , để chi bằng có thể đem nó trở thành có lễ phép và khách khí ."
2364,宇宙,yǔ zhòu,"universe, cosmos",vũ trụ,5,宇宙飞船正绕月球飞行。,yǔzhòufēichuán zhèng rào yuèqiú fēixíng,The spacecraft is orbiting the moon.,phi thuyền vũ trụ chính quấn mặt trăng phi hành .
2365,预报,yù bào,forecast,dự báo,5,天气预报说明天是晴天。,tiānqìyùbào shuōmíng tiān shì qíngtiān,The weather forecast says it will be sunny tomorrow.,dự báo thời tiết bảo ngày mai là trời sáng .
2366,预订,yù dìng,"to place an order, to book ahead",đặt trước,5,我已经在这个旅馆里预订了一个房间。,wǒ yǐjīng zài zhège lǚguǎn lǐ yùdìng le yī gè fángjiān,I have engaged a room at this hotel.,ta đã tại đây cái trong khách sạn đặt trước một cái phòng .
2367,预防,yù fáng,"to prevent, to take precautions against, to protect, to guard against, precautionary, prophylactic",dự phòng,5,这种疫苗用以为全体居民预防传染病.,zhèzhǒng yìmiáo yòng yǐwéi quántǐ jūmín yùfáng chuánrǎnbìng,The vaccine was used to protect the whole population against infection.,kiểu này vắc xin để mà là toàn thể cư dân dự phòng bệnh truyền nhiễm .
2368,玉米,yù mǐ,"corn, maize",bắp ngô,5,玉米不久就要结穗了。,yùmǐ bùjiǔ jiùyào jié suì le,The corn will soon ear.,bắp ngô không lâu muốn kết bông lúa .
2369,元旦,yuán dàn,New Year's Day,tết dương lịch,5,元旦那天他们都感到宿醉头痛。,Yuándàn nàtiān tāmen dōu gǎndào sùzuì tóutòng,On New Year's Day they were all hung over.,tết dương lịch ngày đó bọn họ đều cảm thấy say rượu đau đầu .
2370,原料,yuán liào,raw material,nguyên liệu,5,这个工厂经常原料不足。,zhège gōngchǎng jīngcháng yuánliào bùzú,The factory is in frequent scarcity of raw materials.,cái công xưởng này thường xuyên nguyên liệu không đủ .
2371,原则,yuán zé,"principle, doctrine",nguyên tắc,5,我们必须把理论与实践相结合是个重要的原则。,wǒmen bìxū bǎ lǐlùn yǔ shíjiàn xiāng jiéhé shì gè zhòngyào de yuánzé,It is an essential principle that we must combine theory with practice.,chúng ta nhất định phải đem lý thuyết và thực tiễn đem kết hợp là trọng yếu nguyên tắc .
2372,缘故,yuán gù,"reason, cause",duyên cớ,5,我是为那个老人女儿的缘故才照顾他的。,wǒ shì wéi nàge lǎorén nǚ'ér de yuángù cái zhàogu tā de,I went to look after the old man on the score of his daughter.,ta là là lão nhân kia con gái nguyên nhân mới chăm sóc hắn .
2373,愿望,yuàn wàng,"desire, wish",nguyện vọng,5,充分利用自然资源的愿望终究会实现。,chōngfèn lìyòng zìránzīyuán de yuànwàng zhōngjiū huì shíxiàn,The wish of fully utilizing the natural resources will eventually come true.,đầy đủ sử dụng tự nhiên tài nguyên nguyện vọng cuối cùng lại thực hiện .
2374,晕,yūn,"confused, dizzy, giddy, to faint, to swoon, to lose consciousness, to pass out",bó tay,5,有个年幼的学生在炎炎烈日下晕倒了。,yǒu gè niányòu de xuésheng zài yányán lièrì xià yūndǎo le,A young student fainted in the hot sun.,có một tuổi nhỏ học sinh đang dưới ánh mặt trời chói chang té xỉu .
2375,运气,yùn qi,luck (good or bad),vận khí,5,他的成功主要靠运气。,tā de chénggōng zhǔyào kào yùnqi,His successes were largely due to luck.,thành công của hắn chủ yếu dựa vào vận khí .
2376,运输,yùn shū,"transport, haulage, transit",vận chuyển,5,在运输系统中，铁路的重要性逐渐下降。,zài yùnshū xìtǒng zhōng tiělù de zhòngyàoxìng zhújiàn xiàjiàng,The role of the railways declined in the transport system.,"đang vận chuyển trong hệ thống , đường sắt tầm quan trọng dần dần hạ xuống ."
2377,运用,yùn yòng,"to use, to put to use",vận dụng,5,礼拜仪式倡用人运用或提倡运用礼拜仪式的人,lǐbàiyíshì chàng yòngrén yùnyòng huò tíchàng yùnyòng lǐbàiyíshì de rén,One who uses or advocates the use of liturgical forms.,tuần lễ nghi thức xướng dùng người vận dụng hoặc đề xướng vận dụng tuần lễ nghi thức người
2378,灾害,zāi hài,"disastrous damage, scourge",tai hại,5,,,,
2379,再三,zài sān,"over and over again, again and again",liên tục,5,我再三央求，他才答应帮忙。,wǒ zàisān yāngqiú tā cái dāying bāngmáng,"He made a promise of help, as I pleaded with him again and again.","ta liên tục năn nỉ , hắn mới đáp ứng giúp bận bịu ."
2380,赞成,zàn chéng,"to approve, to endorse, (literary) to assist",tán thành,5,他不赞成改变党的方针。,tā bùzànchéng gǎibiàn dǎng de fāngzhēn,He deprecates changing the party's policy.,hắn không tán thành sửa đổi đảng phương châm .
2381,赞美,zàn měi,"to admire, to praise, to eulogize",ca ngợi,5,我赞美白杨树那挺拔的株干。,wǒ zànměi báiyángshù nà tǐngbá de zhū gàn,I eulogize the tall and straight trunk of the white poplar.,ta ca ngợi cây bạch dương cây cao ngất kia gốc làm .
2382,糟糕,zāo gāo,"too bad, how terrible, what bad luck, terrible, bad",không xong,5,那些难看的家具使得他的家看上去一团糟糕。,nàxiē nánkàn de jiājù shǐde tā de jiā kànshangqu yītuán zāogāo,His house looks terrible with those pieces of ugly furniture.,những kia khó coi đồ dùng trong nhà có thể nhà của hắn nhìn qua một đoàn rối loạn .
2383,造成,zào chéng,"to bring about, to create, to cause",tạo thành,5,这件事情对社会造成了有害的影响。,zhè jiàn shìqing duì shèhuì zàochéng le yǒuhài de yǐngxiǎng,This event had a pernicious influence on society.,chuyện này tình đối với xã hội tạo thành có hại ảnh hưởng .
2384,则,zé,"conjunction used to express contrast with a previous sentence or clause, standard, norm, rule, to imitate, to follow, then, principle, classifier for written items (such as an official statement)",thì,5,他用一则有趣的笑话结束了演讲。,tā yòng yīzé yǒuqù de xiàohuà jiéshù le yǎnjiǎng,He closed his speech with a funny joke.,hắn dùng một thì thú vị chê cười kết thúc diễn thuyết .
2385,责备,zé bèi,"to blame, to criticize, condemnation, reproach",trách cứ,5,我刚好及时到会，才算没受责备。,wǒ gānghǎo jíshí dào huì cái suàn méi shòu zébèi,I saved my bacon by arriving just in time for the meeting.,"ta vừa vặn kịp thời đến họp , mới tính không bị trách cứ ."
2386,摘,zhāi,"to take, to borrow, to pick (flowers, fruit etc), to pluck, to select, to remove, to take off (glasses, hat etc)",hái,5,他们摘了三筐苹果.,tāmen zhāi le sān kuāng píngguǒ,They picked three baskets of apples.,bọn họ hái được ba giỏ quả táo .
2387,粘贴,zhān tiē,"to stick, to affix, to adhere, to paste (as in cut, copy and paste), Taiwan pr. [nián tiē], also written 黏貼|黏贴",dán,5,把标签粘贴在你的手提箱上。,bǎ biāoqiān zhāntiē zài nǐ de shǒutíxiāng shàng,Stick a label on your suitcase.,đem nhãn hiệu dính sát vào vali xách tay của ngươi lên .
2388,展开,zhǎn kāi,"to unfold, to carry out, to be in full swing, to launch",triển khai,5,他展开报纸开始阅读。,tā zhǎnkāi bàozhǐ kāishǐ yuèdú,He unfurled the newspaper and began to read.,hắn triển khai báo chí bắt đầu đọc .
2389,展览,zhǎn lǎn,"to put on display, to exhibit, exhibition, show",triển lãm,5,他们从远处赶来参观这个展览会。,tāmen cóng yuǎnchù gǎnlái cānguān zhège zhǎnlǎnhuì,They came from afar to see the exhibition.,bọn họ từ đằng xa chạy đến tham quan cái này triển lãm hội .
2390,战争,zhàn zhēng,"war, conflict",chiến tranh,5,战争使许多家庭妻离子散。,zhànzhēng shǐ xǔduō jiātíng qīlízǐsàn,The war separated many families.,chiến tranh dùng rất nhiều gia đình thê ly tử tán .
2391,占线,zhàn xiàn,busy (telephone line),đường dây bận,5,,,,
2392,涨,zhǎng,"to rise (of prices, rivers)",trướng,5,谣传近期鸡蛋要涨价。,yáochuán jìnqī jīdàn yào zhǎngjià,A rumor went forth that the price of eggs would be raised soon.,tin đồn gần đây trứng gà muốn tăng giá .
2393,掌握,zhǎng wò,"to grasp (often fig.), to control, to seize (initiative, opportunity, destiny), to master, to know well, to understand sth well and know how to use it, fluency",nắm giữ,5,我们完全掌握了情势。,wǒmen wánquán zhǎngwò le qíngshì,We have the situation well in hand.,chúng ta đầy đủ nắm giữ tình thế .
2394,账户,zhàng hù,"bank account, online account",tài khoản,5,,,,
2395,招待,zhāo dài,"to receive (guests), to entertain, reception",chiêu đãi,5,我希望他别再招待他的朋友了。,wǒ xīwàng tā bié zài zhāodài tā de péngyou le,I wish he would desist from entertaining his friends.,ta hy vọng hắn đừng tiếp tục chiêu đãi hắn bằng hữu .
2396,着凉,zháo liáng,to catch cold,cảm lạnh,5,他坐在风口上，着凉了。,tā zuò zài fēngkǒu shàng zháoliáng le,He sat in a draught and catch a cold.,"hắn ngồi ở đầu gió lên , cảm lạnh ."
2397,照常,zhào cháng,(business etc) as usual,như thường lệ,5,不论下不下雨，比赛照常举行。,bùlùn xià bù xiàyǔ bǐsài zhàocháng jǔxíng,"Rain or shine, the game will be held as scheduled.","bất luận xuống không được mưa , tranh tài như thường lệ tiến hành ."
2398,召开,zhào kāi,"to convene (a conference or meeting), to convoke, to call together",tổ chức,5,会议已由5月10日提前到5月3日召开.,huìyì yǐ yóu yuè rì tíqián dào yuè rì zhàokāi,The meeting has been brought forward from 10 May to 3 May.,hội nghị đã do 5 nguyệt 10 ngày sớm đến 5 nguyệt 3 ngày tổ chức .
2399,哲学,zhé xué,philosophy,triết học,5,这个组织支持社会主义哲学。,zhège zǔzhī zhīchí shèhuìzhǔyì zhéxué,This organization espouses the socialist philosophy.,tổ chức này ủng hộ chủ nghĩa xã hội triết học .
2400,真理,zhēn lǐ,truth,chân lý,5,以下是人生而平等的真理。,yǐxià shì rénshēng ér píngděng de zhēnlǐ,What follows is the truth that men are created equal.,trở xuống là nhân sinh mà bình đẳng chân lý .
2401,真实,zhēn shí,"true, real",chân thực,5,你说的有几分是真实的。,nǐ shuō de yǒu jǐfēn shì zhēnshí de,What you say is partly true.,ngươi nói có mấy phần là chân thật .
2402,针对,zhēn duì,"to be directed against, to be aimed at, to counter, in the light of, in connection with",nhằm vào,5,我的话不是针对你的。,wǒ dehuà bùshì zhēnduì nǐ de,My remarks were not aimed at you.,ta không phải nhằm vào ngươi .
2403,珍惜,zhēn xī,"to treasure, to value, to cherish",trân quý,5,黑暗会使他更加珍惜视力。,hēi'àn huì shǐ tā gèngjiā zhēnxī shìlì,Darkness would make him more appreciative of sight.,tối tăm lại khiến cho hắn càng thêm trân quý thị lực .
2404,诊断,zhěn duàn,"diagnosis, to diagnose",chẩn bệnh,5,我们焦急万分地等候医生做出诊断。,wǒmen jiāojí wànfēn dì děnghòu yīshēng zuòchū zhěnduàn,We waited in great suspense for the doctor's diagnosis.,chúng ta lo lắng vạn phần chờ bác sĩ làm ra chẩn bệnh .
2405,枕头,zhěn tou,pillow,gối đầu,5,我女儿请求我给她买一个羽绒枕头。,wǒ nǚ'ér qǐngqiú wǒ gěi tā mǎi yī gè yǔróng zhěntou,My daughter asked me to buy her a pillow stuffed with feathers.,ta con gái đề xuất ta mua cho nàng một lông gối đầu .
2406,阵,zhèn,"disposition of troops, wave, spate, burst, spell, short period of time, classifier for events or states of short duration",trận,5,他的头一阵阵地痛。,tā de tóu yīzhèn zhèndì tòng,His head throbbed with pain.,đầu của hắn từng đợt đau nhức .
2407,振动,zhèn dòng,vibration,chấn động,5,耳膜的振动帮助声音传送到大脑。,ěrmó de zhèndòng bāngzhù shēngyīn chuánsòng dào dànǎo,A vibrating membrane in the ear helps to convey sounds to the brain.,màng nhĩ chấn động giúp đỡ âm thanh truyền tống đến đại não .
2408,睁,zhēng,to open (one's eyes),trợn,5,他吃惊地睁大了眼睛。,tā chījīng dì zhēng dà le yǎnjing,He opened his eyes wide in surprise.,hắn giật mình mở to hai mắt .
